name,address,city,state,zip,phone,email,website,denomination,lead_pastor,other_staff,attendance_min,attendance_max,engagement_status,notes
Covenant Church (Berks),1201 Yerger Blvd,Sinking Spring,PA,19608,,,covenantberks.org,Orthodox Presbyterian (OPC),,,,,not_contacted,Confirmed Keystone Family Alliance partner; has Adoptions Support Group; partners with Hope Rescue Mission
St. Paul's UCC Amityville,1979 Weavertown Road,Douglassville,PA,19518,(610) 689-9364,office@stpaulsuccamity.org,stpaulsuccamity.org,United Church of Christ,Rev. Dr. Steven Simpson,,,, not_contacted,Host site for Fostering Hope Berks County Foster-Share Closet
Grace Church,622 Old Lancaster Pike,Shillington,PA,19607,(610) 775-0151,hello@mygracechurch.com,mygracechurch.com,Non-denominational,Vern Martin,,,, not_contacted,Active outreach and missions ministry
Grace Bible Fellowship Church,1128 Hampden Blvd,Reading,PA,19604,(610) 375-2333,info@gracebfcreading.org,gracebfcreading.org,Bible Fellowship Church,,,,,not_contacted,Part of Bible Fellowship Church denomination; organized 1882
Calvary Baptist Church,510 Park Ave,Reading,PA,19611,(610) 372-7640,office@CBCReading.com,calvarybaptistreading.com,Baptist (Independent),Russ Weidel,,,, not_contacted,Calvary Community Center does community outreach in Reading
Calvary Reformed Church UCC,Reading,PA,19601,(610) 374-2109,church@calvaryreformeducc.org,calvaryreformeducc.org,United Church of Christ,Rev. Dr. Stephen Ohnsman,,,,not_contacted,Family Promise site; partners with Safe Berks and Mary's Home
Encounter Church Berks County,150 Green Valley Road,Sinking Spring,PA,19608,,,encounterchurchberks.com,Non-denominational,Greg,,,, not_contacted,Active community presence in Berks County
Trinity Lutheran Church,527 Washington St,Reading,PA,19601,(610) 374-4861,,trinityreading.org,Lutheran (ELCA),Rev. Hans Becklin,,,, not_contacted,National Historic Register since 1976; called 2023
First Presbyterian Church,37 S 5th St,Reading,PA,19602,(610) 375-3389,,,Presbyterian (PCUSA),,,,,not_contacted,
Washington Presbyterian Church,715 N 10th St,Reading,PA,19604,(610) 375-3469,,,Presbyterian (PCUSA),,,,,not_contacted,
First Baptist Church,210 S 5th St,Reading,PA,19602,(610) 375-2211,,,Baptist,,,,,not_contacted,
Open Bible Baptist Church,10 Park Lane,Reading,PA,19606,(610) 370-2060,,,Baptist,,,,,not_contacted,
Hopewell Mennonite Church,45 S 6th St,Reading,PA,19601,(610) 373-3907,,,Mennonite,,,,,not_contacted,Also known as Gates of Hope
Christ Lutheran Church,1301 Luzerne St,Reading,PA,19601,(610) 376-0311,,christlutheranrdg.org,Lutheran,,,,,not_contacted,
Christ Episcopal Church,435 Court St,Reading,PA,19601,,,,,Episcopal,,,,,not_contacted,Historic landmark
Holy Trinity Church of God,130 W Buttonwood St,Reading,PA,19601,(610) 374-0790,,,Church of God,,,,,not_contacted,
Holy Guardian Angels Catholic Church,3121 Kutztown Rd,Reading,PA,19605,(610) 921-2729,,hgaparish.com,Roman Catholic,,,,,not_contacted,
St. Joseph Catholic Church,1022 N 8th St,Reading,PA,19601,(610) 376-2976,,,Roman Catholic,,,,,not_contacted,
St. Anthony Catholic Church,234 S 8th St,Reading,PA,19601,(610) 372-9652,,,Roman Catholic,,,,,not_contacted,
Sacred Heart Roman Catholic Parish,740 Cherry St,West Reading,PA,19611,(610) 372-4010,,shrcparish.org,Roman Catholic,,,,,not_contacted,
Saint Peter's United Church of Christ,2901 Curtis Rd,Reading,PA,19601,,,stpucc.com,United Church of Christ,,,,,not_contacted,
Glad Tidings Assembly of God,1110 Snyder Rd,Reading,PA,19601,(610) 678-0266,,,Assemblies of God,,,,,not_contacted,
CityReach Church Reading,Reading,PA,19601,(610) 781-0507,,,Assemblies of God,,,,,not_contacted,
Reading House of Prayer,1510 Greenview Ave,Reading,PA,19601,(610) 373-9900,,,Non-denominational,,,,,not_contacted,
Reformation Lutheran Church,3670 Perkiomen Ave,Reading,PA,19606,,,,,Lutheran,,,,,not_contacted,
Schwarzwald Lutheran Church,250 Church Lane Rd,Reading,PA,19606,,,,,Lutheran,,,,,not_contacted,
Lutheran Church (Kutztown Rd),2201 Kutztown Rd,Reading,PA,19605,(610) 929-8727,,,Lutheran,,,,,not_contacted,
Atonement Lutheran Church,5 Wyomissing Blvd,Wyomissing,PA,19610,(610) 375-3512,,,Lutheran (ELCA),,,,,not_contacted,
Bausman Memorial UCC (Wyomissing),1064 Penn Ave,Wyomissing,PA,19610,(610) 375-9790,,,United Church of Christ,,,,,not_contacted,
Calvary United Methodist Church,831 N Wyomissing Blvd,Wyomissing,PA,19610,(610) 373-7479,,,United Methodist,Valarie Davenport Willis,,,, not_contacted,
Kissinger's Bible Church,715 Berkshire Blvd,Wyomissing,PA,19610,(610) 372-5606,,kissingerschurch.org,Independent/Bible,,,,,not_contacted,
Wyomissing Church of the Brethren,2200 State Hill Rd,Wyomissing,PA,19610,(610) 374-8451,,wcotb.org,Church of the Brethren,Josh Tindall (Interim),,,, not_contacted,Also known as Living Faith Wyomissing
Park Road Presbyterian Church,1045 N Park Rd,Wyomissing,PA,19610,(610) 375-3389,,,Presbyterian (PCUSA),Rev. Dr. Adam Herndon,,,, not_contacted,
St. John Baptist de La Salle Catholic Church,Kerrick Rd & Mitti Rd,Shillington,PA,19607,(610) 777-1697,,stjohnsfamilyoffaith.com,Roman Catholic,,,,,not_contacted,
The Bridge Baptist Church,902 Philadelphia Blvd,Shillington,PA,19607,(610) 777-5311,,,Baptist (SBC),,,,,not_contacted,
Grace Evangelical Lutheran Church (Shillington),30 Liberty St,Shillington,PA,19607,(610) 777-7885,,graceshillington.org,Lutheran (ELCA),,,,,not_contacted,
Shillington Church of Christ,475 Philadelphia Ave,Shillington,PA,19607,(610) 777-5852,,,Church of Christ,,,,,not_contacted,
St. Herman of Alaska Orthodox Church,133 W Broad St,Shillington,PA,19607,(610) 777-3553,,,Eastern Orthodox (Russian),,,,,not_contacted,
Immanuel UCC (Shillington),99 S Waverly St,Shillington,PA,19607,(610) 777-7107,,,United Church of Christ,,,,,not_contacted,
Desert Road Fellowship Church of the Nazarene,2475 Lancaster Pike,Shillington,PA,19607,(484) 797-1237,,,Church of the Nazarene,,,,,not_contacted,
Mosaic Church,332 S Wyomissing Ave,Shillington,PA,19607,(484) 577-2109,,,Non-denominational,,,,,not_contacted,
Calvary Bible Fellowship Church,4891 Penn Ave,Sinking Spring,PA,19608,(610) 678-5166,,cbfc.net,Bible Fellowship,,,,,not_contacted,
Maranatha Baptist Church,25 Gaul Rd,Sinking Spring,PA,19608,(610) 670-1191,,mbcss.org,Baptist,Matt Austin,"Brydon Barker (Assistant Pastor)",,,not_contacted,
St. Alban's Episcopal Church,2848 Saint Alban's Dr,Sinking Spring,PA,19608,(610) 678-7001,,,Episcopal,,,,,not_contacted,
St. John's Reformed Church,4001 Penn Ave,Sinking Spring,PA,19608,(610) 678-1446,,stjohnsss.org,Reformed,,,,,not_contacted,
The Potter's House Christian Center,4453 Penn Ave,Sinking Spring,PA,19608,,,,,Christian Fellowship,,,,,not_contacted,
Community Evangelical Church,51 Green Valley Rd,Sinking Spring,PA,19608,(610) 670-1942,,communityec.org,Evangelical Congregational,,,,,not_contacted,
St. Benedict Catholic Church,2020 Chestnut Hill Rd,Mohnton,PA,19540,(610) 856-1006,,,Roman Catholic,,,,,not_contacted,
Allegheny Evangelical Lutheran Church,1327 Alleghenyville Rd,Mohnton,PA,19540,(610) 777-2520,,aelc.org,Lutheran (ELCA),,,,,not_contacted,
Robeson Evangelical Lutheran Church,3520 Plow Rd,Mohnton,PA,19540,(610) 856-7242,,robesonlutheranchurch.org,Lutheran,,,,,not_contacted,
Crossway Church,85 Chateau Dr,Mohnton,PA,19540,(610) 777-0561,,,Evangelical/Free,,,,,not_contacted,
Zion Evangelical Congregational Church (Mohnton),57 N Church St,Mohnton,PA,19540,(610) 777-5601,,zionec-mohnton.org,Evangelical Congregational,,,,,not_contacted,
Mohn's Hill EC Church,708 Mohn's Hill Rd,Reading,PA,19608,(610) 775-3667,,mohnshill.org,Evangelical Congregational,,,,,not_contacted,
St. Mary's Parish (Kutztown),14833 Kutztown Rd,Kutztown,PA,19530,(610) 683-7443,,stmaryskutztown.com,Roman Catholic,,,,,not_contacted,
Grace Evangelical Congregational Church (Kutztown),421 West Main St,Kutztown,PA,19530,(610) 683-3340,,,Evangelical Congregational,,,,,not_contacted,
St. John's Lutheran Church (Kutztown),201 E Main St,Kutztown,PA,19530,(610) 683-3140,,,Lutheran (ELCA),,,,,not_contacted,
Trinity Lutheran Church (Kutztown),357 West Main St,Kutztown,PA,19530,(610) 683-3450,,trinitykutztown.com,Lutheran (ELCA),,,,,not_contacted,
Mt. Zion Evangelical Lutheran Church,1343 Long Lane Rd,Kutztown,PA,19530,(610) 756-6210,,,Lutheran,,,,,not_contacted,
St. John's United Church of Christ (Kutztown),257 W Walnut St,Kutztown,PA,19530,(610) 683-8531,,,United Church of Christ,,,,,not_contacted,
St. Paul's United Church of Christ (Kutztown),47 South Whiteoak St,Kutztown,PA,19530,(610) 683-3393,,stpaulskutztown.org,United Church of Christ,,,,,not_contacted,
Zion's Union Church (Kutztown),329 Church Rd,Kutztown,PA,19530,(610) 683-7485,,zionsunion.org,Lutheran / UCC,,,,,not_contacted,
Evangel Assembly of God (Kutztown),217 Hottenstein Rd,Kutztown,PA,19530,,,,,Assemblies of God,,,,,not_contacted,
St. Barnabas' Episcopal Church (Kutztown),234 E Main St,Kutztown,PA,19530,,,stbarnabasktown.org,Episcopal,,,,,not_contacted,
Emmanuel United Methodist Church (Fleetwood),24 W Washington St,Fleetwood,PA,19522,(610) 944-8224,,,United Methodist,,,,,not_contacted,
Faith Bible Fellowship Church (Fleetwood),236 S Richmond St,Fleetwood,PA,19522,(610) 944-7080,,,Non-denominational,,,,,not_contacted,
Fleetwood Bible Church,2847 Moselem Springs Rd,Fleetwood,PA,19522,(610) 944-9235,,fleetwoodbible.org,Non-denominational,,,,,not_contacted,
Harvest Church (Fleetwood),300 West Arch St,Fleetwood,PA,19522,(610) 944-8454,,harvestchurchpa.net,Non-denominational,,,,,not_contacted,
Hope Community Church of Fleetwood,Fleetwood,PA,19522,(610) 641-8961,,,Non-denominational,,,,,not_contacted,
The Real Church 516,33 Lyons Rd,Fleetwood,PA,19522,(610) 641-0040,,,Non-denominational,,,,,not_contacted,
St. Paul's Evangelical Lutheran Church (Fleetwood),117 E Arch St,Fleetwood,PA,19522,,,fleetwoodlutheran.org,Lutheran (ELCA),,,,,not_contacted,
Saint Paul's United Church of Christ (Fleetwood),Fleetwood,PA,19522,,,stpaulsfleetwood.org,United Church of Christ,,,,,not_contacted,
Saint Peter Lutheran Church (Fleetwood),265 Maidencreek Rd,Fleetwood,PA,19522,,,,,Lutheran,,,,,not_contacted,
Salem Shalters Lutheran Church,2032 Mount Laurel Rd,Fleetwood,PA,19522,,,,,Lutheran,,,,,not_contacted,
Birdsboro Church of the Nazarene,715 East Third St,Birdsboro,PA,19508,(610) 582-4700,,,Church of the Nazarene,,,,,not_contacted,
Friedens Bible Chapel,1260 White Bear Rd,Birdsboro,PA,19508,(610) 582-0336,,,Non-denominational,,,,,not_contacted,
Abundant Life Assembly of God (Birdsboro),144 S Walnut St,Birdsboro,PA,19508,(610) 582-7474,,,Assemblies of God,,,,,not_contacted,
Faith Chapel Christian Assembly,6500 Perkiomen Ave,Birdsboro,PA,19508,(610) 582-0626,,,Christian / Independent,,,,,not_contacted,
New First Baptist Church of Birdsboro,200 North Mill St,Birdsboro,PA,19508,,,,,Baptist,,,,,not_contacted,
Trinity Evangelical Congregational Church (Boyertown),250 Swinehart Rd,Boyertown,PA,19512,(610) 369-1507,,trinityboyertown.org,Evangelical Congregational,,,,,not_contacted,
Church of the Good Shepherd (Boyertown),35 W Philadelphia Ave,Boyertown,PA,19512,(610) 367-2842,,,United Church of Christ,,,,,not_contacted,
St. John Lutheran Church (Boyertown),45 N Reading Ave,Boyertown,PA,19512,(610) 369-1024,,,Lutheran (ELCA),,,,,not_contacted,
St. Joseph (Hill) Lutheran Church,244 Koch Rd,Boyertown,PA,19512,(610) 369-0990,,,Lutheran (ELCA),,,,,not_contacted,
Boyertown Church,907 W Philadelphia Ave,Boyertown,PA,19512,(610) 367-7570,,,Non-denominational,,,,,not_contacted,
Colebrookdale Chapel,2108 Farmington Ave,Boyertown,PA,19512,(610) 369-1111,,,Non-denominational,,,,,not_contacted,
Boyertown Mennonite Church,275 Mill St,Boyertown,PA,19512,(610) 369-1974,,boyertownmennonitechurch.org,Mennonite,,,,,not_contacted,
St. Columbkill Catholic Church,200 Indian Spring Rd,Boyertown,PA,19512,(610) 367-2371,,stcolumbkill.org,Roman Catholic,,,,,not_contacted,
St. John's Lutheran Church (Hamburg),99 Church St,Hamburg,PA,19526,(610) 562-3808,,stjohnshamburg.org,Lutheran (ELCA),,,,,not_contacted,
St. Paul Lutheran Church (Hamburg),2613 Old Route 22,Hamburg,PA,19526,(610) 562-3334,,,Lutheran (ELCA),,,,,not_contacted,
St. Michael's Lutheran Church (Hamburg),529 Saint Michaels Rd,Hamburg,PA,19526,,,,,Lutheran (NALC),,,,,not_contacted,
St. Mary's Roman Catholic Church (Hamburg),94 Walnut Rd,Hamburg,PA,19526,(610) 562-7657,,stmaryhamburg.org,Roman Catholic,,,,,not_contacted,
Bethany United Methodist Church (Hamburg),321 Island St,Hamburg,PA,19526,(610) 562-2861,,bethanyumchamburg.com,United Methodist,,,,,not_contacted,
First Reformed United Church of Christ (Hamburg),76 S Third St,Hamburg,PA,19526,(610) 562-2593,,hamburgfirstucc.org,United Church of Christ,,,,,not_contacted,
The Bridge Church (Hamburg),3561 Old US 22,Hamburg,PA,19526,(610) 562-2972,,,Assemblies of God,,,,,not_contacted,
Hamburg Bible Church,Hamburg,PA,19526,,,,,Non-denominational,,,,,not_contacted,
Victory Chapel Ministries (Hamburg),Hamburg,PA,19526,,,,,Non-denominational,,,,,not_contacted,
Salem Berne Methodist Church,292 Salem Church Rd,Hamburg,PA,19526,,,,,United Methodist,,,,,not_contacted,
Zion Evangelical Lutheran Church (Womelsdorf),300 West High St,Womelsdorf,PA,19567,(610) 589-4130,,,Lutheran,,,,,not_contacted,
Zion United Church of Christ (Womelsdorf),12 S 2nd St,Womelsdorf,PA,19567,(610) 589-4425,,,United Church of Christ,,,,,not_contacted,
Womelsdorf Mennonite Church,800 Conrad Weiser Pkwy,Womelsdorf,PA,19567,(610) 589-5324,,,Mennonite,,,,,not_contacted,
